date,region,category,orders,units,revenue
2026-05-08,North India,Accessories,101,132,193579.42
2026-05-08,North India,Footwear,134,219,255578.23
2026-05-08,South India,Apparel,139,228,306924.17
2026-05-08,South India,Accessories,100,170,196258.08
2026-05-08,South India,Footwear,111,151,266174.88
2026-05-09,West India,Apparel,186,287,380968.62
2026-05-09,West India,Accessories,95,137,244797.48
2026-05-09,West India,Footwear,162,255,294915.02
2026-05-09,North India,Apparel,175,239,331441.16
2026-05-09,North India,Accessories,80,127,205862.75
2026-05-09,North India,Footwear,102,156,249263.2
2026-05-09,South India,Apparel,188,254,341571.22
2026-05-09,South India,Accessories,86,121,210726.84
2026-05-09,South India,Footwear,118,204,270501.25
2026-05-10,West India,Apparel,191,284,408726.35
2026-05-10,West India,Accessories,105,182,244460.34
2026-05-10,West India,Footwear,140,198,280713.5
2026-05-10,North India,Apparel,126,170,310084.57
2026-05-10,North India,Accessories,84,115,191729.15
2026-05-10,North India,Footwear,130,178,266739.38
2026-05-10,South India,Apparel,181,261,350720.8
2026-05-10,South India,Accessories,111,145,210696.05
2026-05-10,South India,Footwear,136,180,263833.58
2026-05-11,West India,Apparel,141,211,331461.41
2026-05-11,West India,Accessories,92,159,204658.5
2026-05-11,West India,Footwear,135,187,247918.98
2026-05-11,North India,Apparel,152,241,304466.94
2026-05-11,North India,Accessories,94,139,174164.76
2026-05-11,North India,Footwear,115,197,218167.03
2026-05-11,South India,Apparel,116,156,296170.68
2026-05-11,South India,Accessories,74,132,187858.79
2026-05-11,South India,Footwear,92,149,225130.29
2026-05-12,West India,Apparel,177,277,337681.66
2026-05-12,West India,Accessories,85,130,212655.17
2026-05-12,West India,Footwear,114,163,263906.95
2026-05-12,North India,Apparel,131,197,286220.03
2026-05-12,North India,Accessories,91,134,190666.86
2026-05-12,North India,Footwear,106,174,223595.13
2026-05-12,South India,Apparel,118,207,303459.07
2026-05-12,South India,Accessories,97,152,201915.62
2026-05-12,South India,Footwear,109,185,254120.3
2026-05-13,West India,Apparel,149,215,345297.41
2026-05-13,West India,Accessories,114,187,223822.57
2026-05-13,West India,Footwear,117,157,270340.92
2026-05-13,North India,Apparel,168,297,315480.24
2026-05-13,North India,Accessories,71,120,183449.51
2026-05-13,North India,Footwear,100,169,243569.34
2026-05-13,South India,Apparel,151,240,302885.54
2026-05-13,South India,Accessories,82,113,190123.49
2026-05-13,South India,Footwear,112,171,254845.69
2026-05-14,West India,Apparel,143,243,346479.69
2026-05-14,West India,Accessories,98,173,224576.68
2026-05-14,West India,Footwear,144,193,272935.93
2026-05-14,North India,Apparel,138,232,295160.37
2026-05-14,North India,Accessories,89,155,185815.94
2026-05-14,North India,Footwear,113,167,229159.43
2026-05-14,South India,Apparel,159,218,306951.67
2026-05-14,South India,Accessories,92,137,197992.05
2026-05-14,South India,Footwear,112,198,253143.68
2026-05-15,West India,Apparel,162,241,355835.19
2026-05-15,West India,Accessories,96,170,229256.25
2026-05-15,West India,Footwear,113,182,280945.01
2026-05-15,North India,Apparel,122,200,279272.97
2026-05-15,North India,Accessories,86,147,186909.75
2026-05-15,North India,Footwear,103,156,223997.62
2026-05-15,South India,Apparel,127,214,322893.16
2026-05-15,South India,Accessories,72,125,187411.07
2026-05-15,South India,Footwear,98,132,243944.32
2026-05-16,West India,Apparel,198,346,372019.85
2026-05-16,West India,Accessories,117,160,233800.2
2026-05-16,West India,Footwear,148,259,290767.11
2026-05-16,North India,Apparel,175,227,320434.53
2026-05-16,North India,Accessories,87,147,200775.1
2026-05-16,North India,Footwear,93,123,232727.83
2026-05-16,South India,Apparel,134,225,341945.71
2026-05-16,South India,Accessories,86,113,214463.17
2026-05-16,South India,Footwear,133,206,252901.06
2026-05-17,West India,Apparel,163,281,377789.6
2026-05-17,West India,Accessories,91,127,218982.24
2026-05-17,West India,Footwear,117,209,277821.49
2026-05-17,North India,Apparel,158,254,291764.02
2026-05-17,North India,Accessories,77,127,193247.75
2026-05-17,North India,Footwear,131,182,246914.8
2026-05-17,South India,Apparel,144,243,312476.46
2026-05-17,South India,Accessories,88,120,199938.14
2026-05-17,South India,Footwear,129,204,264916.51
2026-05-18,West India,Apparel,138,244,320771.67
2026-05-18,West India,Accessories,88,132,194289.76
2026-05-18,West India,Footwear,135,184,257662.63
2026-05-18,North India,Apparel,129,195,264311.83
2026-05-18,North India,Accessories,71,106,164859.37
2026-05-18,North India,Footwear,100,159,199033.96
2026-05-18,South India,Apparel,146,220,267415.4
2026-05-18,South India,Accessories,93,147,184244.65
2026-05-18,South India,Footwear,93,151,219715.15
2026-05-19,West India,Apparel,158,267,325522.6
2026-05-19,West India,Accessories,96,154,207989.78
2026-05-19,West India,Footwear,124,206,275207.44
2026-05-19,North India,Apparel,108,167,275791.62
2026-05-19,North India,Accessories,69,100,169428.26
2026-05-19,North India,Footwear,94,127,208039.75
2026-05-19,South India,Apparel,120,159,297863.16
2026-05-19,South India,Accessories,86,119,178662.92
2026-05-19,South India,Footwear,97,126,234478.53
2026-05-20,West India,Apparel,124,184,308345.71
2026-05-20,West India,Accessories,92,125,211931.14
2026-05-20,West India,Footwear,90,161,231699.16
2026-05-20,North India,Apparel,139,228,286012.04
2026-05-20,North India,Accessories,78,126,165126.06
2026-05-20,North India,Footwear,111,173,219082.46
2026-05-20,South India,Apparel,157,269,305273.49
2026-05-20,South India,Accessories,87,149,195487.62
2026-05-20,South India,Footwear,127,193,243548.75
2026-05-21,West India,Apparel,172,288,321999.79
2026-05-21,West India,Accessories,94,129,204613.43
2026-05-21,West India,Footwear,97,128,246708.02
2026-05-21,North India,Apparel,129,199,262770.63
2026-05-21,North India,Accessories,81,108,179288.03
2026-05-21,North India,Footwear,82,132,204044.97
2026-05-21,South India,Apparel,125,210,292512.57
2026-05-21,South India,Accessories,87,136,183801.78
2026-05-21,South India,Footwear,94,144,234925.26
2026-05-22,West India,Apparel,138,214,342797.3
2026-05-22,West India,Accessories,91,156,208091.16
2026-05-22,West India,Footwear,115,180,253109.75
2026-05-22,North India,Apparel,131,230,279414.73
2026-05-22,North India,Accessories,92,135,179119.25
2026-05-22,North India,Footwear,126,222,230762.28
2026-05-22,South India,Apparel,152,243,311210.86
2026-05-22,South India,Accessories,93,153,188866.36
2026-05-22,South India,Footwear,92,148,239755.29
2026-05-23,West India,Apparel,155,271,374139.66
2026-05-23,West India,Accessories,79,133,203511.8
2026-05-23,West India,Footwear,142,236,269123.32
2026-05-23,North India,Apparel,130,211,292161.14
2026-05-23,North India,Accessories,77,111,199572.93
2026-05-23,North India,Footwear,105,154,252824.04
2026-05-23,South India,Apparel,165,278,303981.67
2026-05-23,South India,Accessories,75,114,196388.13
2026-05-23,South India,Footwear,110,186,236020.54
2026-05-24,West India,Apparel,164,278,368451.05
2026-05-24,West India,Accessories,90,118,222826.87
2026-05-24,West India,Footwear,140,189,258888.96
2026-05-24,North India,Apparel,127,214,302279.0
2026-05-24,North India,Accessories,75,127,180634.66
2026-05-24,North India,Footwear,118,190,235829.74
2026-05-24,South India,Apparel,173,269,312550.14
2026-05-24,South India,Accessories,105,157,192547.94
2026-05-24,South India,Footwear,104,147,244040.55
2026-05-25,West India,Apparel,134,231,279881.72
2026-05-25,West India,Accessories,82,122,186843.74
2026-05-25,West India,Footwear,94,131,236054.99
2026-05-25,North India,Apparel,127,210,265113.27
2026-05-25,North India,Accessories,63,91,165044.8
2026-05-25,North India,Footwear,104,165,200284.24
2026-05-25,South India,Apparel,122,214,258461.88
2026-05-25,South India,Accessories,95,140,181610.93
2026-05-25,South India,Footwear,105,137,206309.13
2026-05-26,West India,Apparel,135,198,313587.24
2026-05-26,West India,Accessories,77,129,198250.86
2026-05-26,West India,Footwear,120,209,244303.35
2026-05-26,North India,Apparel,125,219,258499.43
2026-05-26,North India,Accessories,69,110,167326.52
2026-05-26,North India,Footwear,106,150,216474.75
2026-05-26,South India,Apparel,155,269,299597.37
2026-05-26,South India,Accessories,81,137,182903.5
2026-05-26,South India,Footwear,104,159,225717.66
2026-05-27,West India,Apparel,149,254,349949.0
2026-05-27,West India,Accessories,84,116,204218.14
2026-05-27,West India,Footwear,142,230,268741.56
2026-05-27,North India,Apparel,127,192,280735.22
2026-05-27,North India,Accessories,71,95,182569.99
2026-05-27,North India,Footwear,108,143,216191.11
2026-05-27,South India,Apparel,131,190,292070.26
2026-05-27,South India,Accessories,98,146,185471.11
2026-05-27,South India,Footwear,103,144,243995.71
2026-05-28,West India,Apparel,161,242,341006.98
2026-05-28,West India,Accessories,109,188,207271.35
2026-05-28,West India,Footwear,118,182,260774.99
2026-05-28,North India,Apparel,125,211,268740.84
2026-05-28,North India,Accessories,84,122,169958.11
2026-05-28,North India,Footwear,93,152,204050.96
2026-05-28,South India,Apparel,153,270,316416.16
2026-05-28,South India,Accessories,82,135,179185.63
2026-05-28,South India,Footwear,128,175,235275.7
2026-05-29,West India,Apparel,195,271,353805.95
2026-05-29,West India,Accessories,118,189,223380.95
2026-05-29,West India,Footwear,125,199,282890.46
2026-05-29,North India,Apparel,154,265,278448.24
2026-05-29,North India,Accessories,101,170,196276.0
2026-05-29,North India,Footwear,112,197,225049.82
2026-05-29,South India,Apparel,133,238,304151.61
2026-05-29,South India,Accessories,82,119,203294.55
2026-05-29,South India,Footwear,110,154,251483.86
2026-05-30,West India,Apparel,185,247,381635.52
2026-05-30,West India,Accessories,112,146,234227.53
2026-05-30,West India,Footwear,119,196,285531.29
2026-05-30,North India,Apparel,163,284,336536.71
2026-05-30,North India,Accessories,108,148,206047.25
2026-05-30,North India,Footwear,122,189,238047.04
2026-05-30,South India,Apparel,177,231,320680.81
2026-05-30,South India,Accessories,97,132,221426.38
2026-05-30,South India,Footwear,105,164,264362.08
2026-05-31,West India,Apparel,176,233,355709.36
2026-05-31,West India,Accessories,107,174,219192.86
2026-05-31,West India,Footwear,148,236,270344.83
2026-05-31,North India,Apparel,130,185,325909.09
2026-05-31,North India,Accessories,84,125,189077.64
2026-05-31,North India,Footwear,104,164,248375.68
2026-05-31,South India,Apparel,128,193,331204.49
2026-05-31,South India,Accessories,114,193,207870.08
2026-05-31,South India,Footwear,123,165,261837.84
2026-06-01,West India,Apparel,153,251,325326.76
2026-06-01,West India,Accessories,78,108,201435.48
2026-06-01,West India,Footwear,106,186,263650.36
2026-06-01,North India,Apparel,120,200,262419.99
2026-06-01,North India,Accessories,80,124,169771.23
2026-06-01,North India,Footwear,93,157,222433.1
2026-06-01,South India,Apparel,162,283,305465.55
2026-06-01,South India,Accessories,71,95,174842.8
2026-06-01,South India,Footwear,99,129,237203.95
2026-06-02,West India,Apparel,173,287,363918.73
2026-06-02,West India,Accessories,99,144,210834.96
2026-06-02,West India,Footwear,130,195,295720.66
2026-06-02,North India,Apparel,117,179,299830.05
2026-06-02,North India,Accessories,88,131,185514.57
2026-06-02,North India,Footwear,117,192,226306.74
2026-06-02,South India,Apparel,111,157,286237.09
2026-06-02,South India,Accessories,75,130,180763.0
2026-06-02,South India,Footwear,119,165,233688.31
2026-06-03,West India,Apparel,160,228,348503.72
2026-06-03,West India,Accessories,101,179,221333.69
2026-06-03,West India,Footwear,125,169,276368.64
2026-06-03,North India,Apparel,147,247,300378.74
2026-06-03,North India,Accessories,73,130,186132.68
2026-06-03,North India,Footwear,87,116,225281.11
2026-06-03,South India,Apparel,157,247,321402.79
2026-06-03,South India,Accessories,72,115,180001.58
2026-06-03,South India,Footwear,125,178,243339.82
2026-06-04,West India,Apparel,140,222,347939.65
2026-06-04,West India,Accessories,103,153,211519.75
2026-06-04,West India,Footwear,115,193,278129.22
2026-06-04,North India,Apparel,123,167,315633.19
2026-06-04,North India,Accessories,97,138,183924.26
2026-06-04,North India,Footwear,115,173,224443.38
2026-06-04,South India,Apparel,161,266,322756.56
2026-06-04,South India,Accessories,81,119,204244.43
2026-06-04,South India,Footwear,125,177,251523.94
2026-06-05,West India,Apparel,142,247,362693.93
2026-06-05,West India,Accessories,100,154,222852.28
2026-06-05,West India,Footwear,127,192,284385.05
2026-06-05,North India,Apparel,164,291,312584.84
2026-06-05,North India,Accessories,78,107,201173.89
2026-06-05,North India,Footwear,126,179,248189.42
2026-06-05,South India,Apparel,179,314,340960.99
2026-06-05,South India,Accessories,92,140,211009.75
2026-06-05,South India,Footwear,116,161,260083.61
2026-06-06,West India,Apparel,141,235,348368.43
2026-06-06,West India,Accessories,117,205,226156.83
2026-06-06,West India,Footwear,157,230,290465.41
2026-06-06,North India,Apparel,141,236,324367.31
2026-06-06,North India,Accessories,105,184,207494.99
2026-06-06,North India,Footwear,107,139,248337.62
2026-06-06,South India,Apparel,164,218,332678.55
2026-06-06,South India,Accessories,117,161,223614.94
2026-06-06,South India,Footwear,128,225,271493.04
2026-06-07,West India,Apparel,154,235,367912.97
2026-06-07,West India,Accessories,102,156,232965.51
2026-06-07,West India,Footwear,145,201,302200.18
2026-06-07,North India,Apparel,134,176,332408.23
2026-06-07,North India,Accessories,75,125,191045.21
2026-06-07,North India,Footwear,116,189,258117.07
2026-06-07,South India,Apparel,138,204,353582.6
2026-06-07,South India,Accessories,104,164,222529.06
2026-06-07,South India,Footwear,124,217,274822.72
2026-06-08,West India,Apparel,145,213,338190.64
2026-06-08,West India,Accessories,93,126,200845.83
2026-06-08,West India,Footwear,111,180,259449.44
2026-06-08,North India,Apparel,157,229,286801.89
2026-06-08,North India,Accessories,75,129,181976.82
2026-06-08,North India,Footwear,89,121,209965.59
2026-06-08,South India,Apparel,153,220,293006.47
2026-06-08,South India,Accessories,73,102,185603.99
2026-06-08,South India,Footwear,99,175,235733.0
2026-06-09,West India,Apparel,158,254,318563.43
2026-06-09,West India,Accessories,85,127,221650.47
2026-06-09,West India,Footwear,145,217,264295.65
2026-06-09,North India,Apparel,128,194,293134.0
2026-06-09,North India,Accessories,75,109,186877.12
2026-06-09,North India,Footwear,107,172,236449.69
2026-06-09,South India,Apparel,151,265,302110.63
2026-06-09,South India,Accessories,79,141,196097.88
2026-06-09,South India,Footwear,96,161,231583.72
2026-06-10,West India,Apparel,177,251,383794.92
2026-06-10,West India,Accessories,108,154,220343.86
2026-06-10,West India,Footwear,131,184,280052.9
2026-06-10,North India,Apparel,118,163,295707.24
2026-06-10,North India,Accessories,89,151,185922.25
2026-06-10,North India,Footwear,128,215,246252.12
2026-06-10,South India,Apparel,144,259,305772.36
2026-06-10,South India,Accessories,99,149,190971.79
2026-06-10,South India,Footwear,107,191,272586.6
2026-06-11,West India,Apparel,183,310,350962.73
2026-06-11,West India,Accessories,86,140,216223.77
2026-06-11,West India,Footwear,104,144,258152.86
2026-06-11,North India,Apparel,130,201,292930.17
2026-06-11,North India,Accessories,81,145,188495.24
2026-06-11,North India,Footwear,128,212,240622.5
2026-06-11,South India,Apparel,157,240,323867.6
2026-06-11,South India,Accessories,107,175,198354.2
2026-06-11,South India,Footwear,96,164,234909.24
2026-06-12,West India,Apparel,163,238,349095.46
2026-06-12,West India,Accessories,95,146,234220.69
2026-06-12,West India,Footwear,145,252,277726.87
2026-06-12,North India,Apparel,165,258,317330.35
2026-06-12,North India,Accessories,99,128,182688.21
2026-06-12,North India,Footwear,95,125,231823.47
2026-06-12,South India,Apparel,130,179,320117.94
2026-06-12,South India,Accessories,79,135,198657.28
2026-06-12,South India,Footwear,101,135,249754.48
2026-06-13,West India,Apparel,156,222,374265.04
2026-06-13,West India,Accessories,106,177,233695.76
2026-06-13,West India,Footwear,148,208,311285.4
2026-06-13,North India,Apparel,130,176,313889.44
2026-06-13,North India,Accessories,103,142,201667.74
2026-06-13,North India,Footwear,122,219,258577.5
2026-06-13,South India,Apparel,147,224,342027.31
2026-06-13,South India,Accessories,84,150,210865.7
2026-06-13,South India,Footwear,123,173,241591.25
2026-06-14,West India,Apparel,178,296,362004.82
2026-06-14,West India,Accessories,97,166,219494.76
2026-06-14,West India,Footwear,166,219,304035.44
2026-06-14,North India,Apparel,136,194,299130.77
2026-06-14,North India,Accessories,77,131,186484.69
2026-06-14,North India,Footwear,112,160,236616.74
2026-06-14,South India,Apparel,163,257,334821.8
2026-06-14,South India,Accessories,107,139,198869.68
2026-06-14,South India,Footwear,97,157,245000.13
2026-06-15,West India,Apparel,127,194,320770.32
2026-06-15,West India,Accessories,79,105,201566.23
2026-06-15,West India,Footwear,115,160,261524.45
2026-06-15,North India,Apparel,131,176,258272.03
2026-06-15,North India,Accessories,73,101,157834.84
2026-06-15,North India,Footwear,83,121,207457.78
2026-06-15,South India,Apparel,149,220,275583.34
2026-06-15,South India,Accessories,77,108,177055.14
2026-06-15,South India,Footwear,86,116,219016.45
2026-06-16,West India,Apparel,164,264,312094.96
2026-06-16,West India,Accessories,78,130,194798.55
2026-06-16,West India,Footwear,120,215,267323.0
2026-06-16,North India,Apparel,127,185,269935.11
2026-06-16,North India,Accessories,74,126,169320.93
2026-06-16,North India,Footwear,82,127,213222.82
2026-06-16,South India,Apparel,139,221,296012.69
2026-06-16,South India,Accessories,89,124,183144.13
2026-06-16,South India,Footwear,97,154,242696.06
2026-06-17,West India,Apparel,166,251,355016.52
2026-06-17,West India,Accessories,81,143,208356.49
2026-06-17,West India,Footwear,125,190,259933.38
2026-06-17,North India,Apparel,138,224,300100.44
2026-06-17,North India,Accessories,83,122,172196.85
2026-06-17,North India,Footwear,118,163,221978.28
2026-06-17,South India,Apparel,147,206,312288.69
2026-06-17,South India,Accessories,76,108,184147.85
2026-06-17,South India,Footwear,89,142,228466.37
2026-06-18,West India,Apparel,182,322,336746.57
2026-06-18,West India,Accessories,79,125,201849.69
2026-06-18,West India,Footwear,140,229,257527.06
2026-06-18,North India,Apparel,155,259,283978.7
2026-06-18,North India,Accessories,73,111,160645.8
2026-06-18,North India,Footwear,90,131,219182.11
2026-06-18,South India,Apparel,141,223,296662.47
2026-06-18,South India,Accessories,96,161,185173.81
2026-06-18,South India,Footwear,96,171,214326.88
2026-06-19,West India,Apparel,129,179,322283.33
2026-06-19,West India,Accessories,81,120,204332.71
2026-06-19,West India,Footwear,98,151,242343.39
2026-06-19,North India,Apparel,111,178,287381.41
2026-06-19,North India,Accessories,89,134,187513.04
2026-06-19,North India,Footwear,89,152,216805.2
2026-06-19,South India,Apparel,152,264,311324.42
2026-06-19,South India,Accessories,85,130,188978.27
2026-06-19,South India,Footwear,129,210,249424.1
2026-06-20,West India,Apparel,156,205,358851.24
2026-06-20,West India,Accessories,103,144,230200.75
2026-06-20,West India,Footwear,142,209,278908.23
2026-06-20,North India,Apparel,114,171,293778.3
2026-06-20,North India,Accessories,74,99,191990.95
2026-06-20,North India,Footwear,97,156,243586.38
2026-06-20,South India,Apparel,146,192,314191.65
2026-06-20,South India,Accessories,75,133,196700.75
2026-06-20,South India,Footwear,107,155,254993.9
2026-06-21,West India,Apparel,191,337,350735.37
2026-06-21,West India,Accessories,110,146,208419.65
2026-06-21,West India,Footwear,152,238,293009.6
2026-06-21,North India,Apparel,130,194,293956.68
2026-06-21,North India,Accessories,98,174,183092.82
2026-06-21,North India,Footwear,123,177,240471.83
2026-06-21,South India,Apparel,162,280,304373.42
2026-06-21,South India,Accessories,82,146,203059.1
2026-06-21,South India,Footwear,98,133,250662.65
2026-06-22,West India,Apparel,137,215,307948.92
2026-06-22,West India,Accessories,73,120,190444.66
2026-06-22,West India,Footwear,98,146,213374.43
2026-06-22,North India,Apparel,114,153,242609.38
2026-06-22,North India,Accessories,63,95,154150.49
2026-06-22,North India,Footwear,85,111,196857.04
2026-06-22,South India,Apparel,141,252,278089.61
2026-06-22,South India,Accessories,78,137,173249.56
2026-06-22,South India,Footwear,102,135,202923.97
2026-06-23,West India,Apparel,172,240,318362.34
2026-06-23,West India,Accessories,80,125,203638.23
2026-06-23,West India,Footwear,127,215,250032.03
2026-06-23,North India,Apparel,117,207,293825.03
2026-06-23,North India,Accessories,94,132,177074.31
2026-06-23,North India,Footwear,86,128,219999.85
2026-06-23,South India,Apparel,128,178,286393.22
2026-06-23,South India,Accessories,80,130,187698.85
2026-06-23,South India,Footwear,116,192,231593.31
2026-06-24,West India,Apparel,133,185,340088.0
2026-06-24,West India,Accessories,90,140,199248.49
2026-06-24,West India,Footwear,119,213,257768.07
2026-06-24,North India,Apparel,123,185,269424.96
2026-06-24,North India,Accessories,77,108,176873.28
2026-06-24,North India,Footwear,118,211,218636.94
2026-06-24,South India,Apparel,124,190,314128.1
2026-06-24,South India,Accessories,74,120,182836.21
2026-06-24,South India,Footwear,107,173,229452.16
2026-06-25,West India,Apparel,154,226,356444.89
2026-06-25,West India,Accessories,88,156,207091.74
2026-06-25,West India,Footwear,116,197,249627.69
2026-06-25,North India,Apparel,117,178,280804.34
2026-06-25,North India,Accessories,68,92,165169.78
2026-06-25,North India,Footwear,98,164,227331.62
2026-06-25,South India,Apparel,146,197,294921.59
2026-06-25,South India,Accessories,90,125,174692.35
2026-06-25,South India,Footwear,105,182,235232.34
2026-06-26,West India,Apparel,147,203,349010.34
2026-06-26,West India,Accessories,101,138,220490.18
2026-06-26,West India,Footwear,132,180,270803.85
2026-06-26,North India,Apparel,121,161,286882.0
2026-06-26,North India,Accessories,72,120,174802.9
2026-06-26,North India,Footwear,108,184,234452.54
2026-06-26,South India,Apparel,145,201,303734.98
2026-06-26,South India,Accessories,90,127,191097.75
2026-06-26,South India,Footwear,117,168,241842.57
2026-06-27,West India,Apparel,171,248,368132.36
2026-06-27,West India,Accessories,106,178,211781.96
2026-06-27,West India,Footwear,127,205,279294.85
2026-06-27,North India,Apparel,111,178,291033.87
2026-06-27,North India,Accessories,75,127,191959.71
2026-06-27,North India,Footwear,135,176,252687.46
2026-06-27,South India,Apparel,139,209,305837.89
2026-06-27,South India,Accessories,92,158,207149.88
2026-06-27,South India,Footwear,139,235,275942.23
2026-06-28,West India,Apparel,131,227,342143.09
2026-06-28,West India,Accessories,108,162,223384.09
2026-06-28,West India,Footwear,123,217,282579.6
2026-06-28,North India,Apparel,129,186,289811.36
2026-06-28,North India,Accessories,99,131,194278.96
2026-06-28,North India,Footwear,111,190,236169.85
2026-06-28,South India,Apparel,163,226,320058.24
2026-06-28,South India,Accessories,103,180,208644.38
2026-06-28,South India,Footwear,109,186,256509.44
2026-06-29,West India,Apparel,151,269,306245.88
2026-06-29,West India,Accessories,92,139,197446.95
2026-06-29,West India,Footwear,102,171,247217.24
2026-06-29,North India,Apparel,109,153,269044.77
2026-06-29,North India,Accessories,74,132,167055.19
2026-06-29,North India,Footwear,108,168,212490.49
2026-06-29,South India,Apparel,155,232,290488.27
2026-06-29,South India,Accessories,79,110,166675.46
2026-06-29,South India,Footwear,100,153,214636.25
2026-06-30,West India,Apparel,138,227,319519.04
2026-06-30,West India,Accessories,99,148,211142.13
2026-06-30,West India,Footwear,132,219,264351.61
2026-06-30,North India,Apparel,151,231,285140.36
2026-06-30,North India,Accessories,86,131,168313.42
2026-06-30,North India,Footwear,93,163,226800.61
2026-06-30,South India,Apparel,148,212,298431.52
2026-06-30,South India,Accessories,98,173,187267.37
2026-06-30,South India,Footwear,121,208,240340.44
2026-07-01,West India,Apparel,193,266,352876.08
2026-07-01,West India,Accessories,89,125,216682.41
2026-07-01,West India,Footwear,110,189,273989.87
2026-07-01,North India,Apparel,170,294,313090.75
2026-07-01,North India,Accessories,76,127,176029.52
2026-07-01,North India,Footwear,95,168,231195.47
2026-07-01,South India,Apparel,136,236,294625.81
2026-07-01,South India,Accessories,80,136,193308.25
2026-07-01,South India,Footwear,118,167,224245.25
2026-07-02,West India,Apparel,158,251,348644.99
2026-07-02,West India,Accessories,88,154,214407.1
2026-07-02,West India,Footwear,118,193,283527.91
2026-07-02,North India,Apparel,150,254,293346.91
2026-07-02,North India,Accessories,72,126,172096.96
2026-07-02,North India,Footwear,120,194,249995.05
2026-07-02,South India,Apparel,128,172,332906.97
2026-07-02,South India,Accessories,78,112,195702.74
2026-07-02,South India,Footwear,113,202,238317.84
2026-07-03,West India,Apparel,179,301,365557.15
2026-07-03,West India,Accessories,93,151,212827.37
2026-07-03,West India,Footwear,152,214,276581.11
2026-07-03,North India,Apparel,132,204,298161.8
2026-07-03,North India,Accessories,90,155,187450.12
2026-07-03,North India,Footwear,114,202,243316.94
2026-07-03,South India,Apparel,133,190,321323.41
2026-07-03,South India,Accessories,80,139,193200.99
2026-07-03,South India,Footwear,109,184,244247.26
2026-07-04,West India,Apparel,210,275,418369.02
2026-07-04,West India,Accessories,97,156,230030.44
2026-07-04,West India,Footwear,124,190,276766.28
2026-07-04,North India,Apparel,139,194,323115.44
2026-07-04,North India,Accessories,82,120,202394.06
2026-07-04,North India,Footwear,136,242,261839.74
