date,region,category,inventory_units,stockout_rate
2026-05-13,South India,Accessories,15019,0.027
2026-05-13,South India,Footwear,16535,0.04
2026-05-14,West India,Apparel,19545,0.027
2026-05-14,West India,Accessories,13215,0.042
2026-05-14,West India,Footwear,16559,0.032
2026-05-14,North India,Apparel,17231,0.012
2026-05-14,North India,Accessories,13855,0.018
2026-05-14,North India,Footwear,14777,0.031
2026-05-14,South India,Apparel,17206,0.056
2026-05-14,South India,Accessories,15843,0.058
2026-05-14,South India,Footwear,16494,0.053
2026-05-15,West India,Apparel,18742,0.038
2026-05-15,West India,Accessories,15211,0.044
2026-05-15,West India,Footwear,15624,0.057
2026-05-15,North India,Apparel,17354,0.023
2026-05-15,North India,Accessories,13345,0.045
2026-05-15,North India,Footwear,15875,0.011
2026-05-15,South India,Apparel,16088,0.056
2026-05-15,South India,Accessories,14441,0.016
2026-05-15,South India,Footwear,14916,0.042
2026-05-16,West India,Apparel,19121,0.052
2026-05-16,West India,Accessories,14727,0.055
2026-05-16,West India,Footwear,16283,0.051
2026-05-16,North India,Apparel,16155,0.023
2026-05-16,North India,Accessories,13163,0.015
2026-05-16,North India,Footwear,14377,0.017
2026-05-16,South India,Apparel,16617,0.013
2026-05-16,South India,Accessories,14130,0.022
2026-05-16,South India,Footwear,13307,0.049
2026-05-17,West India,Apparel,19100,0.053
2026-05-17,West India,Accessories,15301,0.027
2026-05-17,West India,Footwear,15898,0.03
2026-05-17,North India,Apparel,16734,0.036
2026-05-17,North India,Accessories,12231,0.054
2026-05-17,North India,Footwear,15349,0.051
2026-05-17,South India,Apparel,15904,0.038
2026-05-17,South India,Accessories,10658,0.022
2026-05-17,South India,Footwear,16842,0.038
2026-05-18,West India,Apparel,16531,0.026
2026-05-18,West India,Accessories,14335,0.04
2026-05-18,West India,Footwear,16479,0.019
2026-05-18,North India,Apparel,17141,0.028
2026-05-18,North India,Accessories,13231,0.027
2026-05-18,North India,Footwear,15210,0.048
2026-05-18,South India,Apparel,16652,0.051
2026-05-18,South India,Accessories,11992,0.038
2026-05-18,South India,Footwear,15289,0.012
2026-05-19,West India,Apparel,18900,0.049
2026-05-19,West India,Accessories,13288,0.055
2026-05-19,West India,Footwear,16492,0.05
2026-05-19,North India,Apparel,18979,0.049
2026-05-19,North India,Accessories,13122,0.024
2026-05-19,North India,Footwear,14822,0.05
2026-05-19,South India,Apparel,14893,0.025
2026-05-19,South India,Accessories,12431,0.058
2026-05-19,South India,Footwear,14326,0.032
2026-05-20,West India,Apparel,18840,0.03
2026-05-20,West India,Accessories,13358,0.032
2026-05-20,West India,Footwear,13791,0.055
2026-05-20,North India,Apparel,17026,0.038
2026-05-20,North India,Accessories,12447,0.045
2026-05-20,North India,Footwear,13049,0.038
2026-05-20,South India,Apparel,17965,0.047
2026-05-20,South India,Accessories,13201,0.047
2026-05-20,South India,Footwear,15903,0.035
2026-05-21,West India,Apparel,15774,0.01
2026-05-21,West India,Accessories,11871,0.041
2026-05-21,West India,Footwear,16367,0.051
2026-05-21,North India,Apparel,15040,0.048
2026-05-21,North India,Accessories,13321,0.053
2026-05-21,North India,Footwear,15012,0.039
2026-05-21,South India,Apparel,17010,0.042
2026-05-21,South India,Accessories,14757,0.038
2026-05-21,South India,Footwear,18744,0.05
2026-05-22,West India,Apparel,18548,0.024
2026-05-22,West India,Accessories,16562,0.045
2026-05-22,West India,Footwear,14119,0.059
2026-05-22,North India,Apparel,16050,0.048
2026-05-22,North India,Accessories,11849,0.019
2026-05-22,North India,Footwear,14076,0.048
2026-05-22,South India,Apparel,16613,0.053
2026-05-22,South India,Accessories,15756,0.029
2026-05-22,South India,Footwear,15378,0.032
2026-05-23,West India,Apparel,19592,0.018
2026-05-23,West India,Accessories,13914,0.034
2026-05-23,West India,Footwear,15502,0.011
2026-05-23,North India,Apparel,14412,0.018
2026-05-23,North India,Accessories,15249,0.05
2026-05-23,North India,Footwear,16586,0.04
2026-05-23,South India,Apparel,17321,0.025
2026-05-23,South India,Accessories,13352,0.037
2026-05-23,South India,Footwear,15424,0.021
2026-05-24,West India,Apparel,16106,0.034
2026-05-24,West India,Accessories,14966,0.06
2026-05-24,West India,Footwear,17965,0.053
2026-05-24,North India,Apparel,18375,0.038
2026-05-24,North India,Accessories,11568,0.036
2026-05-24,North India,Footwear,16151,0.05
2026-05-24,South India,Apparel,15219,0.056
2026-05-24,South India,Accessories,11274,0.036
2026-05-24,South India,Footwear,16692,0.035
2026-05-25,West India,Apparel,17281,0.019
2026-05-25,West India,Accessories,15522,0.051
2026-05-25,West India,Footwear,17333,0.034
2026-05-25,North India,Apparel,17467,0.025
2026-05-25,North India,Accessories,13294,0.017
2026-05-25,North India,Footwear,13409,0.032
2026-05-25,South India,Apparel,16616,0.029
2026-05-25,South India,Accessories,15167,0.023
2026-05-25,South India,Footwear,16528,0.014
2026-05-26,West India,Apparel,17666,0.05
2026-05-26,West India,Accessories,14119,0.046
2026-05-26,West India,Footwear,17024,0.05
2026-05-26,North India,Apparel,16713,0.034
2026-05-26,North India,Accessories,13008,0.025
2026-05-26,North India,Footwear,15498,0.026
2026-05-26,South India,Apparel,17694,0.014
2026-05-26,South India,Accessories,12919,0.06
2026-05-26,South India,Footwear,15736,0.032
2026-05-27,West India,Apparel,18642,0.017
2026-05-27,West India,Accessories,14414,0.021
2026-05-27,West India,Footwear,15257,0.01
2026-05-27,North India,Apparel,16087,0.022
2026-05-27,North India,Accessories,12227,0.021
2026-05-27,North India,Footwear,15307,0.026
2026-05-27,South India,Apparel,14905,0.055
2026-05-27,South India,Accessories,15298,0.045
2026-05-27,South India,Footwear,16899,0.018
2026-05-28,West India,Apparel,18678,0.058
2026-05-28,West India,Accessories,15480,0.024
2026-05-28,West India,Footwear,17318,0.052
2026-05-28,North India,Apparel,16733,0.038
2026-05-28,North India,Accessories,13037,0.044
2026-05-28,North India,Footwear,14533,0.019
2026-05-28,South India,Apparel,19183,0.058
2026-05-28,South India,Accessories,12772,0.031
2026-05-28,South India,Footwear,14390,0.013
2026-05-29,West India,Apparel,19488,0.021
2026-05-29,West India,Accessories,15467,0.037
2026-05-29,West India,Footwear,15925,0.012
2026-05-29,North India,Apparel,17267,0.019
2026-05-29,North India,Accessories,13957,0.048
2026-05-29,North India,Footwear,13357,0.029
2026-05-29,South India,Apparel,18878,0.053
2026-05-29,South India,Accessories,14380,0.021
2026-05-29,South India,Footwear,15900,0.02
2026-05-30,West India,Apparel,19045,0.014
2026-05-30,West India,Accessories,14818,0.031
2026-05-30,West India,Footwear,16141,0.013
2026-05-30,North India,Apparel,13994,0.055
2026-05-30,North India,Accessories,13396,0.044
2026-05-30,North India,Footwear,13260,0.031
2026-05-30,South India,Apparel,19794,0.016
2026-05-30,South India,Accessories,13532,0.039
2026-05-30,South India,Footwear,17787,0.041
2026-05-31,West India,Apparel,18292,0.027
2026-05-31,West India,Accessories,13769,0.054
2026-05-31,West India,Footwear,17946,0.039
2026-05-31,North India,Apparel,17091,0.013
2026-05-31,North India,Accessories,15832,0.019
2026-05-31,North India,Footwear,14171,0.034
2026-05-31,South India,Apparel,18898,0.015
2026-05-31,South India,Accessories,16230,0.058
2026-05-31,South India,Footwear,17084,0.029
2026-06-01,West India,Apparel,19160,0.04
2026-06-01,West India,Accessories,16091,0.037
2026-06-01,West India,Footwear,16149,0.031
2026-06-01,North India,Apparel,15489,0.012
2026-06-01,North India,Accessories,12710,0.032
2026-06-01,North India,Footwear,15007,0.022
2026-06-01,South India,Apparel,18171,0.044
2026-06-01,South India,Accessories,12836,0.018
2026-06-01,South India,Footwear,14974,0.044
2026-06-02,West India,Apparel,17096,0.047
2026-06-02,West India,Accessories,15611,0.048
2026-06-02,West India,Footwear,18820,0.048
2026-06-02,North India,Apparel,15277,0.052
2026-06-02,North India,Accessories,13866,0.05
2026-06-02,North India,Footwear,16264,0.034
2026-06-02,South India,Apparel,16826,0.036
2026-06-02,South India,Accessories,12195,0.032
2026-06-02,South India,Footwear,16935,0.05
2026-06-03,West India,Apparel,16061,0.022
2026-06-03,West India,Accessories,16317,0.048
2026-06-03,West India,Footwear,15360,0.055
2026-06-03,North India,Apparel,14549,0.039
2026-06-03,North India,Accessories,12784,0.059
2026-06-03,North India,Footwear,14911,0.046
2026-06-03,South India,Apparel,17349,0.032
2026-06-03,South India,Accessories,14382,0.019
2026-06-03,South India,Footwear,15725,0.036
2026-06-04,West India,Apparel,20758,0.046
2026-06-04,West India,Accessories,14404,0.054
2026-06-04,West India,Footwear,16721,0.02
2026-06-04,North India,Apparel,16915,0.036
2026-06-04,North India,Accessories,11529,0.048
2026-06-04,North India,Footwear,13542,0.027
2026-06-04,South India,Apparel,17186,0.024
2026-06-04,South India,Accessories,14173,0.018
2026-06-04,South India,Footwear,12934,0.026
2026-06-05,West India,Apparel,20841,0.022
2026-06-05,West India,Accessories,15103,0.05
2026-06-05,West India,Footwear,16303,0.027
2026-06-05,North India,Apparel,17241,0.042
2026-06-05,North India,Accessories,12726,0.058
2026-06-05,North India,Footwear,15168,0.051
2026-06-05,South India,Apparel,17581,0.035
2026-06-05,South India,Accessories,15068,0.014
2026-06-05,South India,Footwear,15195,0.058
2026-06-06,West India,Apparel,16095,0.052
2026-06-06,West India,Accessories,13490,0.021
2026-06-06,West India,Footwear,15985,0.056
2026-06-06,North India,Apparel,14880,0.016
2026-06-06,North India,Accessories,12258,0.045
2026-06-06,North India,Footwear,13921,0.026
2026-06-06,South India,Apparel,16684,0.018
2026-06-06,South India,Accessories,14249,0.043
2026-06-06,South India,Footwear,14959,0.049
2026-06-07,West India,Apparel,18962,0.024
2026-06-07,West India,Accessories,14492,0.02
2026-06-07,West India,Footwear,15084,0.019
2026-06-07,North India,Apparel,17087,0.018
2026-06-07,North India,Accessories,13496,0.041
2026-06-07,North India,Footwear,15677,0.05
2026-06-07,South India,Apparel,18239,0.017
2026-06-07,South India,Accessories,15109,0.013
2026-06-07,South India,Footwear,16074,0.03
2026-06-08,West India,Apparel,18355,0.024
2026-06-08,West India,Accessories,15207,0.052
2026-06-08,West India,Footwear,15714,0.041
2026-06-08,North India,Apparel,15911,0.012
2026-06-08,North India,Accessories,14830,0.037
2026-06-08,North India,Footwear,14286,0.026
2026-06-08,South India,Apparel,15969,0.041
2026-06-08,South India,Accessories,14287,0.041
2026-06-08,South India,Footwear,14851,0.034
2026-06-09,West India,Apparel,19295,0.032
2026-06-09,West India,Accessories,15896,0.012
2026-06-09,West India,Footwear,15381,0.024
2026-06-09,North India,Apparel,17500,0.042
2026-06-09,North India,Accessories,12675,0.04
2026-06-09,North India,Footwear,14677,0.047
2026-06-09,South India,Apparel,17539,0.022
2026-06-09,South India,Accessories,13116,0.031
2026-06-09,South India,Footwear,15670,0.028
2026-06-10,West India,Apparel,17906,0.04
2026-06-10,West India,Accessories,15465,0.05
2026-06-10,West India,Footwear,17402,0.045
2026-06-10,North India,Apparel,15919,0.033
2026-06-10,North India,Accessories,13643,0.044
2026-06-10,North India,Footwear,16145,0.057
2026-06-10,South India,Apparel,15767,0.038
2026-06-10,South India,Accessories,13522,0.041
2026-06-10,South India,Footwear,15759,0.029
2026-06-11,West India,Apparel,16638,0.016
2026-06-11,West India,Accessories,16502,0.06
2026-06-11,West India,Footwear,15773,0.01
2026-06-11,North India,Apparel,18851,0.011
2026-06-11,North India,Accessories,12696,0.046
2026-06-11,North India,Footwear,14404,0.046
2026-06-11,South India,Apparel,14991,0.059
2026-06-11,South India,Accessories,14274,0.059
2026-06-11,South India,Footwear,14008,0.056
2026-06-12,West India,Apparel,17928,0.017
2026-06-12,West India,Accessories,13537,0.036
2026-06-12,West India,Footwear,16590,0.056
2026-06-12,North India,Apparel,13034,0.026
2026-06-12,North India,Accessories,13368,0.017
2026-06-12,North India,Footwear,15329,0.017
2026-06-12,South India,Apparel,16585,0.045
2026-06-12,South India,Accessories,13332,0.029
2026-06-12,South India,Footwear,14781,0.051
2026-06-13,West India,Apparel,17909,0.037
2026-06-13,West India,Accessories,16197,0.036
2026-06-13,West India,Footwear,17442,0.053
2026-06-13,North India,Apparel,16415,0.03
2026-06-13,North India,Accessories,12852,0.036
2026-06-13,North India,Footwear,15864,0.043
2026-06-13,South India,Apparel,17319,0.021
2026-06-13,South India,Accessories,12547,0.027
2026-06-13,South India,Footwear,15082,0.02
2026-06-14,West India,Apparel,20060,0.037
2026-06-14,West India,Accessories,15066,0.017
2026-06-14,West India,Footwear,15786,0.037
2026-06-14,North India,Apparel,14674,0.036
2026-06-14,North India,Accessories,13512,0.035
2026-06-14,North India,Footwear,14952,0.027
2026-06-14,South India,Apparel,16872,0.035
2026-06-14,South India,Accessories,14542,0.014
2026-06-14,South India,Footwear,16023,0.02
2026-06-15,West India,Apparel,16050,0.019
2026-06-15,West India,Accessories,14505,0.02
2026-06-15,West India,Footwear,14710,0.054
2026-06-15,North India,Apparel,15961,0.031
2026-06-15,North India,Accessories,11917,0.057
2026-06-15,North India,Footwear,13443,0.013
2026-06-15,South India,Apparel,14666,0.059
2026-06-15,South India,Accessories,14054,0.015
2026-06-15,South India,Footwear,15685,0.026
2026-06-16,West India,Apparel,18025,0.045
2026-06-16,West India,Accessories,13835,0.027
2026-06-16,West India,Footwear,14542,0.035
2026-06-16,North India,Apparel,15966,0.032
2026-06-16,North India,Accessories,13537,0.058
2026-06-16,North India,Footwear,15202,0.036
2026-06-16,South India,Apparel,18912,0.014
2026-06-16,South India,Accessories,14944,0.013
2026-06-16,South India,Footwear,15368,0.035
2026-06-17,West India,Apparel,17404,0.014
2026-06-17,West India,Accessories,13563,0.039
2026-06-17,West India,Footwear,14368,0.029
2026-06-17,North India,Apparel,15105,0.021
2026-06-17,North India,Accessories,11511,0.06
2026-06-17,North India,Footwear,16977,0.059
2026-06-17,South India,Apparel,17436,0.014
2026-06-17,South India,Accessories,14320,0.022
2026-06-17,South India,Footwear,15017,0.015
2026-06-18,West India,Apparel,21522,0.027
2026-06-18,West India,Accessories,13192,0.046
2026-06-18,West India,Footwear,14260,0.053
2026-06-18,North India,Apparel,19697,0.037
2026-06-18,North India,Accessories,11805,0.035
2026-06-18,North India,Footwear,14559,0.018
2026-06-18,South India,Apparel,16114,0.023
2026-06-18,South India,Accessories,14029,0.056
2026-06-18,South India,Footwear,14913,0.038
2026-06-19,West India,Apparel,18958,0.023
2026-06-19,West India,Accessories,15423,0.014
2026-06-19,West India,Footwear,14357,0.021
2026-06-19,North India,Apparel,15502,0.026
2026-06-19,North India,Accessories,13997,0.05
2026-06-19,North India,Footwear,16155,0.043
2026-06-19,South India,Apparel,17283,0.034
2026-06-19,South India,Accessories,14111,0.036
2026-06-19,South India,Footwear,17112,0.042
2026-06-20,West India,Apparel,17561,0.016
2026-06-20,West India,Accessories,14627,0.026
2026-06-20,West India,Footwear,17803,0.029
2026-06-20,North India,Apparel,18226,0.032
2026-06-20,North India,Accessories,13141,0.017
2026-06-20,North India,Footwear,13986,0.034
2026-06-20,South India,Apparel,16909,0.022
2026-06-20,South India,Accessories,13628,0.046
2026-06-20,South India,Footwear,14369,0.043
2026-06-21,West India,Apparel,17094,0.032
2026-06-21,West India,Accessories,15908,0.052
2026-06-21,West India,Footwear,16870,0.058
2026-06-21,North India,Apparel,16183,0.05
2026-06-21,North India,Accessories,12149,0.045
2026-06-21,North India,Footwear,14115,0.039
2026-06-21,South India,Apparel,14873,0.049
2026-06-21,South India,Accessories,13855,0.045
2026-06-21,South India,Footwear,14481,0.019
2026-06-22,West India,Apparel,18450,0.042
2026-06-22,West India,Accessories,15257,0.019
2026-06-22,West India,Footwear,16624,0.03
2026-06-22,North India,Apparel,16028,0.039
2026-06-22,North India,Accessories,12348,0.033
2026-06-22,North India,Footwear,13514,0.024
2026-06-22,South India,Apparel,18627,0.025
2026-06-22,South India,Accessories,13908,0.056
2026-06-22,South India,Footwear,14926,0.041
2026-06-23,West India,Apparel,18866,0.019
2026-06-23,West India,Accessories,15565,0.048
2026-06-23,West India,Footwear,15358,0.019
2026-06-23,North India,Apparel,16834,0.026
2026-06-23,North India,Accessories,13488,0.041
2026-06-23,North India,Footwear,16548,0.055
2026-06-23,South India,Apparel,16567,0.043
2026-06-23,South India,Accessories,12688,0.025
2026-06-23,South India,Footwear,15742,0.015
2026-06-24,West India,Apparel,18989,0.046
2026-06-24,West India,Accessories,14596,0.036
2026-06-24,West India,Footwear,18155,0.051
2026-06-24,North India,Apparel,16076,0.035
2026-06-24,North India,Accessories,13406,0.023
2026-06-24,North India,Footwear,13238,0.053
2026-06-24,South India,Apparel,15793,0.034
2026-06-24,South India,Accessories,12899,0.05
2026-06-24,South India,Footwear,15093,0.029
2026-06-25,West India,Apparel,16237,0.018
2026-06-25,West India,Accessories,15076,0.034
2026-06-25,West India,Footwear,15260,0.055
2026-06-25,North India,Apparel,19402,0.041
2026-06-25,North India,Accessories,12467,0.036
2026-06-25,North India,Footwear,14959,0.011
2026-06-25,South India,Apparel,16957,0.053
2026-06-25,South India,Accessories,12552,0.05
2026-06-25,South India,Footwear,15097,0.036
2026-06-26,West India,Apparel,17745,0.029
2026-06-26,West India,Accessories,15424,0.023
2026-06-26,West India,Footwear,16717,0.045
2026-06-26,North India,Apparel,17255,0.031
2026-06-26,North India,Accessories,14114,0.034
2026-06-26,North India,Footwear,15549,0.01
2026-06-26,South India,Apparel,17333,0.014
2026-06-26,South India,Accessories,12890,0.02
2026-06-26,South India,Footwear,15522,0.024
2026-06-27,West India,Apparel,16813,0.03
2026-06-27,West India,Accessories,14291,0.022
2026-06-27,West India,Footwear,15915,0.03
2026-06-27,North India,Apparel,16288,0.033
2026-06-27,North India,Accessories,11916,0.045
2026-06-27,North India,Footwear,11746,0.025
2026-06-27,South India,Apparel,16461,0.038
2026-06-27,South India,Accessories,14805,0.059
2026-06-27,South India,Footwear,15395,0.055
2026-06-28,West India,Apparel,19477,0.016
2026-06-28,West India,Accessories,13457,0.034
2026-06-28,West India,Footwear,15628,0.05
2026-06-28,North India,Apparel,19505,0.017
2026-06-28,North India,Accessories,12391,0.035
2026-06-28,North India,Footwear,15505,0.046
2026-06-28,South India,Apparel,17748,0.052
2026-06-28,South India,Accessories,14074,0.036
2026-06-28,South India,Footwear,15991,0.054
2026-06-29,West India,Apparel,16879,0.015
2026-06-29,West India,Accessories,13994,0.05
2026-06-29,West India,Footwear,13065,0.041
2026-06-29,North India,Apparel,18438,0.048
2026-06-29,North India,Accessories,13790,0.013
2026-06-29,North India,Footwear,14086,0.02
2026-06-29,South India,Apparel,15900,0.028
2026-06-29,South India,Accessories,14826,0.016
2026-06-29,South India,Footwear,14435,0.019
2026-06-30,West India,Apparel,17070,0.014
2026-06-30,West India,Accessories,13248,0.044
2026-06-30,West India,Footwear,17167,0.011
2026-06-30,North India,Apparel,17833,0.018
2026-06-30,North India,Accessories,12974,0.054
2026-06-30,North India,Footwear,16058,0.019
2026-06-30,South India,Apparel,17475,0.023
2026-06-30,South India,Accessories,12454,0.012
2026-06-30,South India,Footwear,16992,0.049
2026-07-01,West India,Apparel,16546,0.019
2026-07-01,West India,Accessories,14231,0.053
2026-07-01,West India,Footwear,15926,0.043
2026-07-01,North India,Apparel,15997,0.051
2026-07-01,North India,Accessories,11255,0.035
2026-07-01,North India,Footwear,17219,0.023
2026-07-01,South India,Apparel,14642,0.011
2026-07-01,South India,Accessories,15182,0.05
2026-07-01,South India,Footwear,14273,0.017
2026-07-02,West India,Apparel,17194,0.037
2026-07-02,West India,Accessories,15941,0.014
2026-07-02,West India,Footwear,16790,0.033
2026-07-02,North India,Apparel,14747,0.024
2026-07-02,North India,Accessories,11779,0.054
2026-07-02,North India,Footwear,15211,0.051
2026-07-02,South India,Apparel,15607,0.036
2026-07-02,South India,Accessories,14147,0.051
2026-07-02,South India,Footwear,16043,0.048
2026-07-03,West India,Apparel,16925,0.053
2026-07-03,West India,Accessories,13811,0.012
2026-07-03,West India,Footwear,16636,0.053
2026-07-03,North India,Apparel,15462,0.045
2026-07-03,North India,Accessories,13283,0.028
2026-07-03,North India,Footwear,17648,0.016
2026-07-03,South India,Apparel,17522,0.018
2026-07-03,South India,Accessories,13200,0.021
2026-07-03,South India,Footwear,17896,0.04
2026-07-04,West India,Apparel,19183,0.013
2026-07-04,West India,Accessories,13244,0.039
2026-07-04,West India,Footwear,15107,0.03
2026-07-04,North India,Apparel,14336,0.039
2026-07-04,North India,Accessories,13536,0.044
2026-07-04,North India,Footwear,12486,0.046
2026-07-04,South India,Apparel,19883,0.028
2026-07-04,South India,Accessories,13320,0.016
2026-07-04,South India,Footwear,16386,0.027
2026-07-05,West India,Apparel,17505,0.041
2026-07-05,West India,Accessories,14746,0.05
2026-07-05,West India,Footwear,16027,0.051
2026-07-05,North India,Apparel,16567,0.041
2026-07-05,North India,Accessories,14477,0.049
2026-07-05,North India,Footwear,16892,0.03
2026-07-05,South India,Apparel,19207,0.038
2026-07-05,South India,Accessories,17158,0.013
2026-07-05,South India,Footwear,14456,0.038
2026-07-06,West India,Apparel,18572,0.047
2026-07-06,West India,Accessories,13630,0.056
2026-07-06,West India,Footwear,17706,0.057
2026-07-06,North India,Apparel,15231,0.034
2026-07-06,North India,Accessories,14498,0.014
2026-07-06,North India,Footwear,15092,0.011
2026-07-06,South India,Apparel,16892,0.051
2026-07-06,South India,Accessories,13633,0.016
2026-07-06,South India,Footwear,13927,0.022
2026-07-07,West India,Apparel,16490,0.057
2026-07-07,West India,Accessories,14655,0.054
2026-07-07,West India,Footwear,16479,0.052
2026-07-07,North India,Apparel,15671,0.013
2026-07-07,North India,Accessories,12917,0.013
2026-07-07,North India,Footwear,15423,0.045
2026-07-07,South India,Apparel,15924,0.026
2026-07-07,South India,Accessories,11709,0.047
2026-07-07,South India,Footwear,17149,0.037
2026-07-08,West India,Apparel,18420,0.059
2026-07-08,West India,Accessories,13862,0.034
2026-07-08,West India,Footwear,15330,0.017
2026-07-08,North India,Apparel,15444,0.024
2026-07-08,North India,Accessories,14422,0.036
2026-07-08,North India,Footwear,13339,0.04
2026-07-08,South India,Apparel,17536,0.046
2026-07-08,South India,Accessories,14028,0.055
2026-07-08,South India,Footwear,16237,0.036
2026-07-09,West India,Apparel,17455,0.021
2026-07-09,West India,Accessories,16022,0.052
2026-07-09,West India,Footwear,17234,0.025
2026-07-09,North India,Apparel,15958,0.046
2026-07-09,North India,Accessories,12445,0.02
2026-07-09,North India,Footwear,14695,0.036
2026-07-09,South India,Apparel,16399,0.028
2026-07-09,South India,Accessories,12658,0.019
2026-07-09,South India,Footwear,15391,0.018
2026-07-10,West India,Apparel,17623,0.05
2026-07-10,West India,Accessories,16332,0.011
2026-07-10,West India,Footwear,15625,0.033
2026-07-10,North India,Apparel,15546,0.056
